"","time","population","labor_productivity","wealth","K.goods","K.extract","L.goods","L.extract","participation_rate","w","nature","nature_extraction","debt_ratio","capital","wage_share","Y.goods","Y.extract","I.goods","I.extract","C.extract","C.goods","profit.goods","profit.extract","profit_share.goods","profit_share.extract","profit_rate.goods","profit_rate.extract","NEPR","NEPR_direct","HH_saving","NetInvestment","D.goods","D.extract","XX.gg","XX.ge","XX.eg","XX.ee","net_nature_extraction","IC.extract_perceived","IC.goods_perceived","CU.goods","CU.extract","VA.goods","VA.extract","a.extract","VA.total","Y.total","P.goods","P.extract","interest_share","profit.bank","profit_share.bank","r.L","r.D","lambda_h","nature_spending_per_VA","extraction_sector_spending_per_VA","Yext_per_Ytotal","VAext_per_VAtotal","eta.Kextract","eta.Kgoods","inv_kappa0","inv_kappa1","delta","nature_intensity","C.extract_alt","C.goods_alt","Firm_saving","HH_saving.1","NetInvestment.1","Firm_saving.1","Saving_Investment_check","Saving_Investment_check_alt","nature_extraction_per_person","nature_consumption_per_person","goods_physical_consumption_per_person","elasticity.K","elasticity.L","elasticity.nature","r.real","CPI","inflation","NPR","nature_intensity_real","P.goods_real","P.extract_real","Y.goods_real","Y.extract_real","Y.total_real","VA.goods_real","VA.extract_real","VA.total_real","D.goods_real","D.extract_real","D.total_real","C.goods_real","C.extract_real","C.total_real","I.goods_real","I.extract_real","I.total_real","w_real","wages.goods_real","wages.extract_real","wages_real","g","lambda_h1","lambda_h2","lambda_h3","value_inventory.goods","value_inventory.extract","GDP_deflator"
"86",8.5,26.7815634909114,1,0.751109271639299,3.50907969432155,2.57519850510257,1.96366322213854,2.51681028925787,0.167296935928214,0.851595200510971,97.5634127395829,2.57720535314923,0.359786004838987,6.08427819942413,0.796787862131321,2.46116249562834,2.32750199044377,0.573303624361798,0.54817707461064,2.30581367595846,1.32716095790452,0.250144668404711,0.272331467825419,0.115032260224471,0.104177769053954,0.0366062964428602,0.0543056340170248,4.06059983846472,6.31725595546871,0.268719827656649,0.766035587856498,0.872796907064038,0.850097556894247,0.388735700697216,1.00374003630694,1.28782396817128,0.582613406887483,2.06793660331441,0.976537484825494,0.983687890842504,0.853316666015574,0.854810963699745,2.17456101372419,2.61410347234809,1,4.78866448607228,4.78866448607211,1.9473419824315,1.65416830912368,0.0179893002419493,0.0861447231979142,0.0179893002419493,0.05,0,100,0.872111851470019,0.445746517429503,0.486044072875295,0.545894054584769,0.16,0.16,1,1.5,0.03,0.538188749837259,2.31715347891794,1.32941266719712,0.52247613623013,0.268719827656649,0.766035587856498,0.52247613623013,0.0251603760302812,0.011568863778193,0.0962305786973127,0.0520485442456437,0.0254475187566549,0.803836372821897,0.773816659478515,0.670178017277615,0.0515083774591531,0.992762788155243,-0.00150837745915312,3.47768038720525,0.537564095406519,1.96153804883245,1.66622714797506,2.46402238911974,2.33020656919691,4.79422895831665,2.17708787365353,2.61714108466328,4.79422895831682,0.873811105109986,0.851085378086198,1.72489648319618,1.328703131163,2.30849305269038,3.63719618385338,0.573969808454405,0.548814061420978,1.12278386987538,0.857803304748569,1.68443680136366,2.1589281835506,3.84336498491426,0.587169894328062,100,100,100,1.05110796295109,1.13381338398786,0.998839339486512
"87",8.6,26.782413378442,1,0.757140157700258,3.52853623374231,2.59638992566989,1.9745513058152,2.5370184301197,0.168452695886115,0.850112133561465,97.54333546723,2.59787274233971,0.363166605527647,6.12492615941219,0.796646693514703,2.46866992039738,2.34568530777262,0.575613981004568,0.551776860918919,2.32385592848047,1.32869910966811,0.251154832059825,0.274104794051086,0.115031758011871,0.104182618636855,0.0366063072697063,0.0542944802612982,4.05973338249225,6.31575016004225,0.270205788079315,0.770107187484078,0.885118726949911,0.863294319068914,0.390305400251631,1.01027336819436,1.29301444589697,0.586521927711888,2.08443210309004,0.976546880838065,0.98368813902601,0.853316615101013,0.854809046570269,2.1833521142388,2.63100311393133,1,4.81435522817013,4.81435522817,1.94442428169995,1.65167747310905,0.0181583302763824,0.0874206523009413,0.0181583302763824,0.05,0,100,0.873095586610251,0.446284508515963,0.48722730180927,0.546491272296776,0.16,0.16,1,1.5,0.03,0.539609692101427,2.33533906915293,1.33093756207425,0.525259626110911,0.270205788079315,0.770107187484078,0.525259626110911,0.0253582267061474,0.0116366336275409,0.0969992026346224,0.0525332470554713,0.0255144316848596,0.804082519301501,0.774209558539818,0.670765586573659,0.0515053299157763,0.991268352630963,-0.00150532991577629,3.4771164764921,0.538088546212898,1.96155186084493,1.66622637424595,2.47564871064664,2.35231642747739,4.82796513812403,2.1895243271862,2.63844081093795,4.82796513812416,0.887620907533082,0.865734803285285,1.75335571081837,1.33245526690653,2.33042533776454,3.66288060467107,0.577241209175002,0.55333670289898,1.13057791207398,0.857600397818764,1.69337598538068,2.17574801494419,3.86912400032487,0.590424301198567,100,100,100,1.05535057442882,1.14120740613767,0.99718102563613
"88",8.7,26.7842628694535,1,0.76321688598979,3.54810039163309,2.61775105963432,1.98549961780229,2.5573801639782,0.169610035710988,0.848634913728845,97.5231002106879,2.61869678890957,0.366527938617718,6.16585145126742,0.796506355545446,2.47620216370182,2.36399322814997,0.577935267118959,0.555400373671644,2.34202189307406,1.33022706205517,0.252169794200663,0.275889605434137,0.115031271735205,0.104187496877473,0.0366063181683759,0.0542832547645935,4.05885968053868,6.31423251580159,0.271700778536693,0.774202547208229,0.897489927689605,0.876576911792843,0.391882554917464,1.01684867195647,1.29822985122204,0.590457469581838,2.10105112283513,0.976556357377944,0.983688387712608,0.853316564068504,0.85480711178566,2.19218470244458,2.6480106894073,1,4.84019539185188,4.84019539185179,1.941516628162,1.64919560046191,0.0183263969308859,0.0887033419741224,0.0183263969308859,0.05,0,100,0.874078187215341,0.44682215078563,0.488408635760785,0.547087560528039,0.16,0.16,1,1.5,0.03,0.541031214012146,2.35364949974729,1.33245225937191,0.5280593996348,0.271700778536693,0.774202547208229,0.5280593996348,0.0255576309632635,0.0117048269732991,0.0977699779035584,0.0530199219774698,0.0255802606721439,0.804328835603596,0.77460430651213,0.671355352579063,0.0515022620977732,0.989779207756084,-0.00150226209777315,3.47654803732718,0.538612132613676,1.9615653803878,1.66622574766021,2.48732358899166,2.3746106867961,4.86193427578776,2.20203051339941,2.65990376238843,4.86193427578785,0.901520845409289,0.88051390239006,1.78203474779935,1.33620154229189,2.35254067134379,3.68874221363568,0.580530961440629,0.55789485649388,1.13842581793451,0.857398202628216,1.70236380362269,2.19269315603196,3.89505695965465,0.593696694614404,100,100,100,1.05961331824163,1.14864948929816,0.995528758164373
"89",8.8,26.7871161436621,1,0.76933976222342,3.56777276037493,2.63928319672415,1.99650848962256,2.57789651488697,0.170768849471384,0.847163527617949,97.5027055212817,2.63967853244992,0.369870094386125,6.20705595709909,0.79636684176701,2.48375937518708,2.3824265043943,0.580267549469818,0.559047768465083,2.36031231724691,1.33174474080073,0.253189583979395,0.277685974189289,0.115030801716459,0.104192403993007,0.0366063291375985,0.0542719569718025,4.05797866272559,6.31270291409612,0.27320485385491,0.778321815654679,0.909910740502922,0.889945890078294,0.393467209996253,1.02346620245213,1.30347034368054,0.59442023035418,2.11779445415144,0.97656591374046,0.983688636882072,0.853316512922641,0.854805159597045,2.20105902246501,2.66512685711643,1,4.86618587958144,4.86618587958137,1.93861902097268,1.64672269644681,0.0184935047193063,0.0899928315290608,0.0184935047193063,0.05,0,100,0.875059645614667,0.447359442311037,0.489588060002191,0.547682912874193,0.16,0.16,1,1.5,0.03,0.542453288421651,2.37208552369509,1.33395668473849,0.530875558168683,0.27320485385491,0.778321815654679,0.530875558168683,0.0257585963689143,0.0117734459829796,0.0985428412036983,0.0535085325408105,0.0256449915399575,0.80457528147584,0.775000860625278,0.671947281668137,0.0514991743553915,0.988295356150316,-0.00149917435539154,3.47597502683956,0.539134850679734,1.96157859986729,1.6662252698032,2.49904720316197,2.39709061675794,4.89613781991991,2.2146067968727,2.68153102304727,4.89613781991998,0.915511346991732,0.895423610589547,1.81093495758128,1.33994178464774,2.37484031421536,3.71478209886311,0.58383916375916,0.56248877253312,1.14632793629228,0.857196709815459,1.71140050842309,2.20976441080585,3.92116491922894,0.596987173611207,100,100,100,1.06389631686215,1.15613993666062,0.993882537330408
"90",8.9,26.7909774186493,1,0.775509093684114,3.58755393561652,2.6609876354292,2.00757825462571,2.59856851205207,0.171929030236553,0.845697961600625,97.4821499637311,2.66081901754531,0.373193162975259,6.24854157104572,0.796228145726102,2.49134170508424,2.40098589263003,0.582610895106356,0.562719201747827,2.37872795194613,1.33325207109028,0.254214230670486,0.279493972873952,0.1150303482749,0.104197340198162,0.0366063401760766,0.0542605863344824,4.05709025958912,6.31116124727983,0.274718068901401,0.782465142175687,0.922381398043202,0.903401812458955,0.395059410979926,1.03012621556711,1.30873608351646,0.598410409147639,2.13466289199467,0.976575549330346,0.983688886513233,0.853316461667931,0.85480319022305,2.20997531940844,2.68235227830588,1,4.89232759771431,4.89232759771427,1.93573145857441,1.64425876562068,0.018659658148763,0.0912891605251079,0.018659658148763,0.05,0,100,0.876039954195337,0.447896381159414,0.490765559884377,0.548277322957495,0.16,0.16,1,1.5,0.03,0.5438758881945,2.39064789720289,1.33545076331806,0.533708203544438,0.274718068901401,0.782465142175687,0.533708203544438,0.025961130270152,0.0118424927856075,0.0993177283518259,0.0539990415968878,0.0257086102693068,0.804821814262746,0.775399177321646,0.672541339723348,0.0514960670373269,0.986816800044836,-0.00149606703732686,3.4753974024903,0.539656696478222,1.96159151170355,1.66622494220404,2.51081973315858,2.4197574928996,4.93057722605818,2.22725354391983,2.7033236821384,4.93057722605823,0.929592841872715,0.910464868413736,1.84005771028645,1.34367582035674,2.39732553321517,3.7410013535719,0.587165915137587,0.56711870278265,1.15428461792024,0.856995910043486,1.72048635330647,2.22696258679641,3.94744894010288,0.600295837772206,100,100,100,1.06819969327776,1.16367905303061,0.992242362995196
"91",9,26.7958509499444,1,0.781725189205544,3.60744451629272,2.68286568304814,2.01870924799902,2.61939718978019,0.17309047010462,0.844238201814054,97.4614321140921,2.68211929372906,0.376497234402587,6.29031019934086,0.796090260970849,2.49894930423222,2.41967215218108,0.584965371361871,0.566414830811422,2.39726955144416,1.33474897759241,0.255243763670293,0.281313674382095,0.115029911727379,0.104202305705643,0.0366063512824916,0.0542491423097939,4.05619440200152,6.30960740855691,0.276240478586977,0.786632676840038,0.93490213440383,0.916945241009015,0.396659203550166,1.03682896818959,1.3140272316878,0.60242820635059,2.15165723462245,0.976585263651758,0.983689136583922,0.853316410308874,0.854801203852821,2.21893383935841,2.69968761705492,1,4.91862145641333,4.9186214564133,1.93285393870017,1.64180381184371,0.0188248617201294,0.0925923687706423,0.0188248617201294,0.05,0,100,0.877019105395463,0.448432965394328,0.491941120824843,0.548870784421685,0.16,0.16,1,1.5,0.03,0.545298986209214,2.40933737958378,1.33693441977894,0.536557438052388,0.276240478586977,0.786632676840038,0.536557438052388,0.0261652397993278,0.011911969473181,0.100094574295825,0.0544914113244595,0.0257711030078918,0.805068389064868,0.775799212276194,0.673137492135049,0.0514929404912155,0.985343541286638,-0.00149294049121549,3.47481512201436,0.540177666072785,1.96160410832581,1.66622476633873,2.52264136000477,2.44261259658452,4.96525395658928,2.23997112258326,2.72528283400605,4.96525395658932,0.943765760997876,0.925638621764504,1.86940438276238,1.3474034748909,2.41999760111625,3.76740107600715,0.590511315083035,0.571784900439987,1.16229621552302,0.856795793994517,1.72962159298339,2.24428849500473,3.97391008798812,0.60362278723156,100,100,100,1.07252357098909,1.17126714479247,0.990608234627335
"92",9.1,26.8017410311017,1,0.787988359156162,3.62744510464316,2.70491865573558,2.02990180677801,2.64038358742912,0.174253060231705,0.842784234159128,97.4405505578865,2.70358041543984,0.379782398570056,6.33236376037873,0.795953181049123,2.50658232409816,2.43848604546776,0.587331045853237,0.57013481378128,2.41593787322877,1.33623538448979,0.256278212496571,0.283145151938241,0.11502949238859,0.104207300726621,0.0366063624555079,0.0542376243595377,4.05529102109991,6.30804129184149,0.277772137867188,0.790824570423215,0.947473185124764,0.930576741361907,0.398266633577633,1.04357471818602,1.31934394986993,0.606473823628249,2.16877828354366,0.976595056299276,0.983689387070955,0.853316358850023,0.854799200648764,2.22793482936374,2.71713354020221,1,4.94506836956595,4.94506836956592,1.92998645837624,1.63935783828911,0.0189891199285028,0.0939024963243336,0.0189891199285028,0.05,0,100,0.877997091698057,0.448969193077188,0.493114728296833,0.549463290927301,0.16,0.16,1,1.5,0.03,0.546722555360172,2.42815473315464,1.33840757834076,0.539423364434811,0.277772137867188,0.790824570423215,0.539423364434811,0.0263709318787843,0.0119818781019395,0.100873313129267,0.0549856032353483,0.0258324560771925,0.80531495888509,0.776200920415601,0.67373570380179,0.0514897950640739,0.983875581342412,-0.00148979506407387,3.47422814336775,0.540697755523768,1.9616163821679,1.66622474363308,2.53451226577423,2.46565721490156,5.00016948067578,2.25275990262943,2.74740957804638,5.00016948067581,0.958030536681009,0.94094582194684,1.89897635862785,1.35112457284618,2.44285779652176,3.79398236936794,0.59387546360386,0.57648762012772,1.17036308373158,0.856596352365227,1.73880648334563,2.26174294983679,4.00054943318242,0.606968122677693,100,100,100,1.0768680740081,1.1789045198754,0.988980151308309
"93",9.2,26.8086519937735,1,0.794298915423976,3.64755630623097,2.72714787854884,2.04115626985713,2.66152874936005,0.175416690861943,0.841336044298905,97.4195038884031,2.72520344197947,0.383048745273306,6.3747041847798,0.795816899506994,2.51424091679613,2.45742833790674,0.589707986480191,0.5738793096078,2.43473367789698,1.3377112155083,0.257317606787917,0.284988479091562,0.115029090571318,0.104212325471148,0.0366063736937762,0.0542260319492784,4.05438004822141,6.30646279163023,0.27931310174302,0.795040974397726,0.960094787199074,0.944296882728739,0.399881747121084,1.05036372437715,1.32468640045817,0.610547463929347,2.18602684346895,0.976604926949767,0.983689637950151,0.853316307296031,0.854797180749003,2.23697853742815,2.73469071727474,1,4.97166925470289,4.97166925470287,1.92712901392456,1.63692084745194,0.0191524372636653,0.0952195834963907,0.0191524372636653,0.05,0,100,0.878973905625515,0.449505062268637,0.494286367819455,0.550054836147415,0.16,0.16,1,1.5,0.03,0.548146568559767,2.44710072313631,1.33987016280029,0.542306085879479,0.27931310174302,0.795040974397726,0.542306085879479,0.0265782132247727,0.0120522206934464,0.101653878106681,0.0554815781806907,0.0258926559795002,0.805561474762004,0.776604255936906,0.674335939131679,0.0514866311026889,0.982412921302012,-0.00148663110268894,3.47363642467941,0.5412169608884,1.96162832566422,1.66622487546529,2.54643263361908,2.48889264056688,5.03532527418596,2.26562025554467,2.76970501864131,5.03532527418598,0.972387602619518,0.956387425700386,1.9287750283199,1.35483893797628,2.46590740376173,3.82074634173801,0.597258461210827,0.581227117887439,1.17848557909827,0.856397575862363,1.74804128146191,2.27932676903994,4.02736805050184,0.610331945356634,100,100,100,1.08123332685605,1.1865914877209,0.987358111737205
"94",9.3,26.8165882077782,1,0.80065717140195,3.66777872996171,2.74955468549458,2.05247297800045,2.68283372489166,0.176581251358389,0.839893617657147,97.3982907051533,2.74698943747154,0.386296364210693,6.4173334154563,0.795681409887315,2.5219252351045,2.47649979781341,0.592096261424424,0.577648478057674,2.45365772905206,1.33917639394489,0.258361976303139,0.286843729710078,0.115028706586664,0.104217380148534,0.0366063849959367,0.054214364547548,4.0534614148441,6.3048718028865,0.280863425261028,0.799282040923529,0.972767179079486,0.958106237916423,0.401504590426385,1.05719624651421,1.33005474656972,0.614649331492284,2.20340372226206,0.976614875355035,0.983689889196364,0.853316255651678,0.854795144269612,2.24606521249969,2.75235982041823,1,4.99842503291792,4.99842503291791,1.92428160096477,1.63449284115696,0.0193148182105347,0.0965436708497954,0.0193148182105347,0.05,0,100,0.879949539734608,0.450040571029828,0.495456024948665,0.550645413763761,0.16,0.16,1,1.5,0.03,0.549570998740765,2.466176117556,1.34132209655616,0.545205706013217,0.280863425261028,0.799282040923529,0.545205706013217,0.0267870903507155,0.0121229992355052,0.102436201659492,0.0559792963577235,0.0259516894048917,0.805807885892739,0.777009172325601,0.674938162044577,0.0514834489539626,0.980955561881547,-0.00148344895396263,3.47303992420739,0.54173527822095,1.96163993124607,1.66622516316833,2.55840264779773,2.5123201718285,5.07072281962623,2.27855255453181,2.79217026509444,5.07072281962624,0.986837393910514,0.971964395231299,1.95880178914181,1.35854639322599,2.48914771279334,3.84769410601932,0.600660408918353,0.586003651173999,1.18666406009235,0.856199455198732,1.7573262455741,2.29704077364102,4.05436701921512,0.613714357075374,100,100,100,1.08561945456101,1.19432835925144,0.985742114234978
"95",9.4,26.8255540811652,1,0.807063441973937,3.68811298810236,2.77214041957519,2.06385227385246,2.70429956825549,0.177746630234779,0.838456939416919,97.3769096124678,2.76893947082083,0.389525344992131,6.46025340767755,0.795546705728407,2.52963543248194,2.49570119630654,0.594495939148488,0.581442479705328,2.47271079320346,1.3406308426941,0.259411350920559,0.288710977974911,0.115028340744244,0.1042224649677,0.0366063963606211,0.0542026216251225,4.05253505253333,6.30326822093508,0.282423163512932,0.803547922838546,0.98549060068493,0.972005383345499,0.403135209925418,1.06407254525528,1.33544915204511,0.618779631850844,2.22090973089206,0.976624901335179,0.983690140783535,0.853316203921889,0.85479309130662,2.25519510445986,2.77014152432862,1,5.02533662878848,5.02533662878847,1.92144421441586,1.63207382056586,0.0194762672496066,0.0978747992015215,0.0194762672496066,0.05,0,100,0.880923986611951,0.450575717423597,0.496623685269063,0.551235017463189,0.16,0.16,1,1.5,0.03,0.550995818858881,2.4853816871519,1.34276330263258,0.54812232889547,0.282423163512932,0.803547922838546,0.54812232889547,0.0269975695698563,0.0121942156829444,0.103220215412623,0.0564787173170951,0.0260095432381432,0.806054139745059,0.777415622372485,0.675542335974433,0.0514802489652157,0.979503503426149,-0.00148024896521566,3.472438600299,0.542252703572882,1.96165119133821,1.66622560803216,2.57042249370267,2.53594111237324,5.10636360607591,2.29155717450727,2.81480643156865,5.10636360607592,1.00138034706754,0.98767769824445,1.98905804531199,1.36224676076405,2.51258001910398,3.87482677986803,0.604081408245804,0.590817478850091,1.19489888709589,0.85600198108953,1.76666163509384,2.31488578788626,4.0815474229801,0.617115460205223,100,100,100,1.09002658265526,1.20211544684013,0.984132156748292
"96",9.5,26.8355540602742,1,0.813518043501072,3.70855969630043,2.79490643283489,2.07529450194883,2.7259273385527,0.178912715188131,0.837025994519288,97.3553592182199,2.79105461567336,0.392735777147757,6.50346612913532,0.795412780562861,2.53737166308232,2.51503330721464,0.596907088394535,0.585261475924474,2.49189363966902,1.3420744842735,0.260465760637262,0.290590298374602,0.115027993352381,0.104227580137491,0.0366064077864534,0.0541908026543635,4.05160089289286,6.30165194136649,0.283992371634743,0.807838773649219,0.99826529340708,0.985994899067687,0.404773652234909,1.07099288214162,1.34086978144889,0.62293857183945,2.23854568338615,0.976635004772582,0.983690392684745,0.853316152111748,0.854791021937828,2.26436846411239,2.78803650618457,1,5.05240497029696,5.05240497029696,1.91861684849768,1.62966378618365,0.0196367888573878,0.0992130096237383,0.0196367888573878,0.05,0,100,0.881897238869883,0.451110499515557,0.497789334386396,0.551823640934447,0.16,0.16,1,1.5,0.03,0.552421001895522,2.50471820527928,1.34419370370237,0.551056059011864,0.283992371634743,0.807838773649219,0.551056059011864,0.0272096569973888,0.0122658719582647,0.104005850201732,0.0569797999706925,0.0260662045655795,0.806300182161512,0.777823558191522,0.676148423873344,0.0514770314844536,0.978056745912456,-0.00147703148445358,3.47183241135442,0.542769232992977,1.9616620983558,1.66622621130565,2.58249235788827,2.55975677123559,5.14224912912386,2.30463449209874,2.83761463702513,5.14224912912387,1.01601690003789,1.00352830797595,2.01954520801384,1.36593986201568,2.53620562361694,3.90214548563262,0.607521561218845,0.595668861181071,1.20319042239992,0.85580514424897,1.77604771059942,2.33286263918231,4.10891034978172,0.620535357685172,100,100,100,1.09445483717234,1.20995306428131,0.982528236853003
"97",9.6,26.8465926297915,1,0.82002129380856,3.7291194736033,2.81785408640576,2.08680000872729,2.7477180997117,0.180079393132153,0.83560076766208,97.3336381326652,2.81333595037676,0.39592775013642,6.54697356000906,0.795279627916426,2.54513408176867,2.53449690698384,0.599329778182896,0.589105628879731,2.51120704047925,1.34350724084814,0.261525235568287,0.292481765699455,0.115027664718273,0.104232725866966,0.0366064192720518,0.0541789071086194,4.05065886752034,6.30002285994989,0.285571104805466,0.812154747521094,1.01109150011688,1.00007536878314,0.406419964155172,1.07795751957408,1.3463168000701,0.627126359598034,2.25631239678285,0.97664518560648,0.983690644872279,0.853316100226499,0.85478893622445,2.27358554317188,2.80604544558064,1,5.07963098875252,5.07963098875251,1.9157994967322,1.62726273786453,0.019796387506821,0.100558343445001,0.019796387506821,0.05,0,100,0.882869289142742,0.451644915375096,0.498952957920725,0.552411277865238,0.16,0.16,1,1.5,0.03,0.553846520860696,2.52418644781813,1.34561322210919,0.554007001267742,0.285571104805466,0.812154747521094,0.554007001267742,0.0274233585521138,0.0123379699521757,0.104793036091098,0.0574825025999728,0.0261216606818568,0.806545957454705,0.778232931235868,0.676756388215834,0.0514737968605979,0.976615288950844,-0.0014737968605979,3.47122131579357,0.543284862527448,1.96167264470158,1.66622697419847,2.59461242809861,2.58376846270823,5.17838089080684,2.3177848856433,2.86059600516354,5.17838089080684,1.03074749222056,1.01951720322602,2.05026469544658,1.36962551769478,2.56002583259909,3.92965135029388,0.610980970370841,0.600558059829997,1.21153903020084,0.855608935387186,1.78548473383313,2.35097215803843,4.13645689187156,0.623974153025274,100,100,100,1.09890434464394,1.21784152676189,0.980930351757316
"98",9.7,26.8586743128017,1,0.826573512172787,3.74979294247753,2.8409847505535,2.09836914253849,2.76967292044664,0.181246550231441,0.834181243298742,97.3117449673853,2.83578455794104,0.399101353354011,6.59077769303103,0.795147241306994,2.55292284412618,2.55409277458699,0.601764077810515,0.592975101518301,2.53065177028324,1.34492903425428,0.262589805945776,0.294385455035908,0.115027355148149,0.104237902365663,0.0366064308160285,0.0541669344616814,4.04970890796676,6.2983808725539,0.28715941824542,0.816495999269414,1.02396946517107,1.01424737985743,0.408074192668771,1.0849667207894,1.35179037392204,0.631343204576506,2.27421069108564,0.976655443828043,0.983690897317691,0.853316048271545,0.854786834212592,2.28284659425207,2.82416902446111,1,5.10701561871318,5.10701561871317,1.91299215194463,1.62487067481727,0.0199550676677005,0.101910842251425,0.0199550676677005,0.05,0,100,0.883840130083473,0.452178963076302,0.500114541500179,0.552997921939529,0.16,0.16,1,1.5,0.03,0.555272348796063,2.54378719308181,1.34702177988937,0.556975260981683,0.28715941824542,0.816495999269414,0.556975260981683,0.0276386799576895,0.0124105115240323,0.105581702392118,0.0579867828647894,0.0261758990966724,0.806791408495997,0.77864369231476,0.677366191004079,0.0514705454436863,0.975179131787443,-0.00147054544368625,3.47060527202589,0.543799588220044,1.96168282276327,1.6662278978827,2.60678289329535,2.60797750625383,5.21476039954919,2.33100873518594,2.88375166436325,5.21476039954919,1.04557256448476,1.03564536839223,2.08121793287699,1.3733035478361,2.58404195757038,3.95734550540647,0.614459738744291,0.605485337852844,1.21994507659714,0.855413345207397,1.79497296769883,2.36921517800961,4.16418814570843,0.627431950310026,100,100,100,1.1033752320965,1.22578115083336,0.979338498304672
"99",9.8,26.8718036708356,1,0.833175019308702,3.77058072882848,2.86429980472295,2.11000225365695,2.79179287421666,0.182414071936437,0.832767405637271,97.2896783343267,2.85840152599952,0.402256676141621,6.63488053355142,0.795015614243657,2.5607381064745,2.57382169143363,0.60421005684925,0.596870057561666,2.55022860625598,1.34633978602237,0.263659502118062,0.296301441760915,0.115027064947414,0.104243109843844,0.0366064424169907,0.0541548841872876,4.04875094569955,6.2967258750745,0.288757367214218,0.820862684349689,1.03689943441865,1.02851152333827,0.40973638493912,1.09202074983647,1.35729066974179,0.635589317538875,2.29224138921673,0.976665779475931,0.983691149991863,0.853315996252446,0.854784715934592,2.29215187085402,2.84240792705412,1,5.13455979790814,5.13455979790813,1.91019480626433,1.62248759560998,0.0201128338070811,0.103270547887846,0.0201128338070811,0.05,0,100,0.884809754360548,0.452712640698823,0.501274070755243,0.553583566835104,0.16,0.16,1,1.5,0.03,0.556698458778114,2.56352122172653,1.34841929879315,0.559960943878977,0.288757367214218,0.820862684349689,0.559960943878977,0.0278556267435058,0.0124834985021735,0.106371777682411,0.058492597812703,0.0262289075414003,0.807036476797197,0.779055791609767,0.677977793774002,0.0514672775850432,0.973748273305969,-0.00146727758504323,3.46998423842273,0.54431340611213,1.9616926249112,1.66622898349434,2.61900394368584,2.6323852264179,5.25138917010374,2.34430642247848,2.90708274762527,5.25138917010374,1.06049255918905,1.05191379350299,2.11240635269204,1.37697377182716,2.60825531521466,3.98522908704182,0.617957969892298,0.61045095969386,1.22840892958616,0.855218364403303,1.80451267625978,2.38759253564037,4.19210521190015,0.630908854201764,100,100,100,1.10786762704771,1.23377225438434,0.977752672976377
"100",9.9,26.8859853039142,1,0.839826137357422,3.79148346201987,2.88780063758354,2.12169969429208,2.81407903918549,0.183581843019121,0.831359238639242,97.2674368449255,2.88118794676972,0.40539380779354,6.67928409960341,0.794884740225845,2.56858002587941,2.5936844412807,0.606667785144042,0.600790661497279,2.56993832800671,1.34773941739949,0.264734354548734,0.298229801536321,0.115026794420779,0.10424834851271,0.0366064540735403,0.0541427557586715,4.04778491206894,6.29505776336941,0.290365007008437,0.825254958848239,1.04988165520739,1.04286839397193,0.411406588309014,1.09911987155246,1.36281785498933,0.639864910567027,2.31040531697086,0.976676192632264,0.98369140286507,0.853315944174909,0.854782581410231,2.30150162735397,2.86076283980614,1,5.1622644671601,5.1622644671601,1.90740745112577,1.62011349817463,0.020269690389677,0.104637502458966,0.020269690389677,0.05,0,100,0.885778154655177,0.453245946328655,0.502431531313534,0.554168206221313,0.16,0.16,1,1.5,0.03,0.558124823921457,2.58338931666151,1.34980570030575,0.562964156085055,0.290365007008437,0.825254958848239,0.562964156085055,0.0280742042452526,0.0125569326841919,0.107163189825528,0.0589999038887681,0.0262806739756474,0.807281102586366,0.779469178690897,0.678591157601896,0.0514639936374236,0.972322712029397,-0.00146399363742361,3.46935817329213,0.544826312242762,1.96170204349613,1.66623023213474,2.63127577075121,2.65699295274233,5.28826872349354,2.35767833097885,2.93059039251469,5.28826872349355,1.075507920201,1.06832347425153,2.14383139445253,1.3806360084403,2.63266722729176,4.01330323573207,0.621475767880073,0.61545519118103,1.2369309590611,0.85502398365668,1.81410412473677,2.40610507040914,4.22020919514591,0.634404969944069,100,100,100,1.11238165750268,1.24181515661355,0.976172871894036
