"","time","population","labor_productivity","wealth","K.goods","K.extract","L.goods","L.extract","participation_rate","w","nature","nature_extraction","debt_ratio","capital","wage_share","Y.goods","Y.extract","I.goods","I.extract","C.extract","C.goods","profit.goods","profit.extract","profit_share.goods","profit_share.extract","profit_rate.goods","profit_rate.extract","NEPR","HH_saving","NetInvestment","D.goods","D.extract","XX.gg","XX.ge","XX.eg","XX.ee","net_nature_extraction","IC.extract_perceived","IC.goods_perceived","CU.goods","CU.extract","VA.goods","VA.extract","a.extract","VA.total","Y.total","P.goods","P.extract","interest_share","profit.bank","profit_share.bank","r.L","r.D","lambda_h","nature_spending_per_VA","extraction_sector_spending_per_VA","Yext_per_Ytotal","VAext_per_VAtotal","eta.Kextract","eta.Kgoods","inv_kappa0","inv_kappa1","delta","nature_intensity","C.extract_alt","C.goods_alt","Firm_saving","HH_saving.1","NetInvestment.1","Firm_saving.1","Saving_Investment_check","Saving_Investment_check_alt","nature_extraction_per_person","nature_consumption_per_person","goods_physical_consumption_per_person","elasticity.K","elasticity.L","elasticity.nature","r.real","CPI","inflation","NPR","nature_intensity_real","P.goods_real","P.extract_real","Y.goods_real","Y.extract_real","Y.total_real","VA.goods_real","VA.extract_real","VA.total_real","D.goods_real","D.extract_real","D.total_real","C.goods_real","C.extract_real","C.total_real","I.goods_real","I.extract_real","I.total_real","w_real","wages.goods_real","wages.extract_real","wages_real","g","lambda_h1","lambda_h2","lambda_h3","value_inventory.goods","value_inventory.extract","GDP_deflator"
"1",0,30,1,0.39168,2.2,1.28,1.24666666666667,1.3056,0.0850755555555556,1,100,1.3056,0,3.48,0.814742328096463,1.62741962857405,1.15468199789348,0.477612951509878,0.294216364818457,1.15468199789348,0.855590312245713,0.235230417100283,0.147749644091062,0.146409178974084,0.0968252321268957,0.056560581581734,0.061060385569433,4.01104588509735,0.541994356527473,0.574470091787017,0,0,0.235671615512303,0.493624911036678,0.869965888823855,0.311484290264205,1.04505558872594,1,1,0.85,0.85,1.6066644096264,1.52594154277293,1,3.13260595239933,2.78210162646753,1.89041402817355,1.7893169247714,0,0,0,0.05,0,100,0.745747218922395,0.350930050834304,0.415039474801499,0.48711570046152,0.16,0.16,1,1.5,0.03,0.469285516955661,1.14960056498575,1.21117607108524,0.382980061191344,0.541994356527473,0.574470091787017,0.382980061191344,0.350504325931801,4.44089209850063e-16,0.04352,0.0215106666666667,0.0150864713495655,0,0,0,0.05,1,0,3.54545454545455,0.469285516955661,1.89041402817355,1.7893169247714,1.62741962857405,1.15468199789348,2.78210162646753,1.6066644096264,1.52594154277293,3.13260595239933,0,0,0,0.855590312245713,1.15468199789348,2.01027231013919,0.477612951509878,0.294216364818457,0.771829316328336,1,1.24666666666667,1.3056,2.55226666666667,0.374,100,100,100,0.705691251300848,0.633212760390265,1
"2",0.1,29.9265677443444,1,0.389665104227172,2.21455481071808,1.28917664658496,1.24783882853793,1.30668906571582,0.0853598687319067,0.997990814254575,99.8753994100831,1.31278866492717,0.0038499243818787,3.50373145730304,0.807094549735856,1.73048884846,1.17708443475915,0.480754227043715,0.29605018845848,1.16219821586672,0.935769121612414,0.242843412447486,0.152176414348107,0.149623609232531,0.0990923283457373,0.0546132589866267,0.0587885998949442,4.10441312533756,0.452036079708401,0.565750279657748,0.00734347672154686,0.0048174025826556,0.25186821468783,0.527189332475956,0.891680887308172,0.319439275918864,1.05560167149777,1.00428791583593,1.00441089157712,0.849642815134235,0.849654992017175,1.62302870311117,1.53570328690994,1,3.1587319900211,2.90757328321915,2.00789870662542,1.82269199845472,0.000192496219093935,0.000608043965210123,0.000192496219093935,0.05,0,100,0.751351614062674,0.361752374200531,0.404833969810016,0.486177140625241,0.16,0.16,1,1.5,0.03,0.451506647314391,1.15191332162093,1.18828873266504,0.395019826795594,0.452036079708401,0.565750279657748,0.395019826795594,0.281305626846246,0.0390709100394104,0.0438669972494681,0.0213063965899264,0.0155729180979894,6.37120188850066,48.7507539959174,7.8806409321927,0.0137583075835637,1.03624169241644,0.0362416924164363,3.54202033663216,0.47141781528897,1.93767411726424,1.75894485986599,1.657398581138,1.12736818488347,2.78476676602147,1.55447720571941,1.47084013343315,3.02531733915256,0.00703331195098022,0.00461393103594362,0.0116472429869238,0.896245252209158,1.11311071186203,2.00935596407119,0.460448719150915,0.283545983398497,0.743994702549412,0.963086914527958,1.20177724720478,1.25845514054767,2.46023238775245,0.3720199901341,100,100,100,0.727029985006196,0.650944936724328,1.04409939054721
"3",0.2,29.8543374765328,1,0.389602896012927,2.22985723516276,1.29878866728693,1.25089848943882,1.3095583646749,0.0857649866163126,0.995987798536923,99.76192737595,1.32052331222767,0.00841405290367958,3.52864590244969,0.801591949883694,1.80710913163965,1.19431858164247,0.487921071450112,0.300233629279206,1.17357928496436,0.993960246475928,0.248648293152226,0.155541902525712,0.151897439597819,0.100710196058455,0.0533259732940035,0.0572715956671046,4.15248981863364,0.383982676889647,0.56679479202852,0.0162324752095176,0.0105359838392358,0.264003325217643,0.55226268642987,0.908856802849421,0.325769986118997,1.06423492375729,1.00311313960159,1.00307365185896,0.849285999007357,0.849300744908951,1.63694854772124,1.54445039939581,1,3.18139894711706,3.00142771328212,2.0910751113444,1.84582741150035,0.000420702645183979,0.00133842295243767,0.000420702645183979,0.05,0,100,0.756964503340601,0.370361064869215,0.397916823502791,0.485462661259561,0.16,0.16,1,1.5,0.03,0.439965056091141,1.17327770417414,1.18920883150327,0.404190195677938,0.383982676889647,0.56679479202852,0.404190195677938,0.221378080539065,0.0264310763019346,0.0442322095831361,0.0212967781128017,0.0159217919369651,4.4287763385889,13.5041060669729,5.33866225346833,0.0249734011785889,1.06217529753456,0.0250265988214111,3.53888991424562,0.47305967980895,1.96867232386032,1.73778039819297,1.68068618907819,1.11076564795214,2.79145183703032,1.52242981246541,1.43640271112217,2.95883252358759,0.0150968729123939,0.00979890047419983,0.0248957733865937,0.924424114457941,1.09147724478499,2.01590135924293,0.453786764611378,0.27922968535306,0.733016449964438,0.937686840250127,1.17295105203554,1.22795564509513,2.40090669713067,0.37201411668282,100,100,100,0.741484087784193,0.662921910248264,1.07522102780579
"4",0.3,29.783061322387,1,0.39070408415949,2.24572914247459,1.30873216943935,1.25552942830311,1.31395599625894,0.0862733819317175,0.993991096662291,99.6584204096031,1.3293002720205,0.0134723675772189,3.55446131191394,0.797599399429406,1.86510305439859,1.20810202242976,0.49682118259108,0.3054292595884,1.18599325339388,1.03616785917536,0.253201931042195,0.158176939392654,0.153511306394643,0.10186802043262,0.0524491101146879,0.0562238881198836,4.17583339188894,0.33404156028203,0.573023025054288,0.0262371547996961,0.016903601861571,0.273349049928538,0.57151101334302,0.923211515464748,0.331084144222957,1.07247201435215,0.99979358540336,0.999505213311918,0.849336793785631,0.849331185158906,1.64940249020662,1.55276345531107,1,3.20216594551769,3.07320507682835,2.14966860901314,1.86161792394203,0.000673618378860947,0.00215703783306336,0.000673618378860947,0.05,0,100,0.762074469156552,0.377252284143905,0.393108169558461,0.484910364337798,0.16,0.16,1,1.5,0.03,0.432545254478227,1.18918191071151,1.18636448236825,0.411378870434849,0.33404156028203,0.573023025054288,0.411378870434849,0.172397405662591,0.0190121251520736,0.0446327614757758,0.0213905686992193,0.0161841265794407,3.21581261071161,6.64696095424804,3.53732484980183,0.032763363127361,1.08048362743325,0.017236636872639,3.53603196019617,0.474521348475233,1.98954297356619,1.72294875801534,1.70011629168053,1.10123348171092,2.80134977339145,1.50349657008251,1.41540621108025,2.91890278116276,0.0239162196518362,0.0154083115381551,0.0393245311899914,0.944508591171553,1.08108045137929,2.02558904255084,0.452872448298812,0.278411028794116,0.731283477092928,0.9199501699286,1.1550245109178,1.20877404203712,2.36379855295492,0.373180512424832,100,100,100,0.751895730728868,0.671522392455663,1.09704439838935
"5",0.4,29.712609884721,1,0.392537442715696,2.26204630801244,1.31893498676224,1.26152908236562,1.31972718823736,0.0868741009496555,0.992000876293564,99.5638212437291,1.33889167408251,0.0188664182796864,3.58098129477468,0.794680156791925,1.91009758318029,1.21968124695676,0.50615765216254,0.310882070047892,1.19823678221227,1.0671371297492,0.256906231163144,0.160320766492951,0.15465955247868,0.102698659535183,0.0518446389194717,0.0554877480293858,4.18545540253867,0.298274127289881,0.581701428845883,0.0370507861488075,0.0237403513498925,0.280693908608134,0.586603606928194,0.935543109404606,0.335674323956449,1.08069030696112,0.995890906500025,0.995362517993004,0.849676218797663,0.849648411340632,1.66110807283345,1.56107944561855,1,3.222187518452,3.12977883013706,2.19063131948359,1.87212784089188,0.000943320913984318,0.003039556874935,0.000943320913984318,0.05,0,100,0.766390596894775,0.382708949702893,0.389702056647674,0.484478149294216,0.16,0.16,1,1.5,0.03,0.427791146514937,1.20178499763708,1.18270588920714,0.417226997656095,0.298274127289881,0.581701428845883,0.417226997656095,0.133799696100094,0.0146827212173408,0.0450613957938109,0.0215410239841821,0.0163949515488699,2.44078854905151,3.96391915568876,2.52327559976235,0.0382221600495235,1.09320939066627,0.0117778399504765,3.53341791946253,0.475787027788437,2.00385336806198,1.71250618305692,1.71741301746346,1.09664368413678,2.81405670160024,1.49354077656488,1.40360271894384,2.89714349550873,0.0333132207482672,0.0213455002542731,0.0546587210025403,0.959487732034308,1.07736246875332,2.03685020078763,0.455098078950155,0.279521276136728,0.734619355086884,0.907420741866273,1.14473765580609,1.19754782421144,2.34228548001753,0.37507719135941,100,100,100,0.75994563208843,0.678155212313441,1.11219465775415
"6",0.5,29.642907542215,1,0.394838068438949,2.27872174569252,1.32934685521114,1.26865741067131,1.32666115384511,0.087552766570566,0.990017238134085,99.4772108561746,1.34899841579632,0.0244851260657334,3.60806860090366,0.792524838595819,1.9459816807128,1.22985786369729,0.515244228195011,0.31619404937812,1.20982911103943,1.09030532259994,0.260030305643278,0.162132861588727,0.155477725797555,0.103295913828031,0.0514261740693823,0.0549647530721231,4.18750147485721,0.273244791498073,0.591254044241777,0.0484603941345751,0.0309217622009087,0.286579783892348,0.5986732997669,0.946351101583712,0.339716909501653,1.08895060234804,0.992149977190886,0.991430237257429,0.850152935910001,0.850096603695444,1.67246018237917,1.56959608158992,1,3.24205626396909,3.17583954441008,2.21895479177973,1.8788434205437,0.00122425630328667,0.00396910781677419,0.00122425630328667,0.05,0,100,0.769850033098805,0.386971772387055,0.387254408322362,0.484135978463352,0.16,0.16,1,1.5,0.03,0.424769071904386,1.2124030082114,1.17968507803793,0.422163167232005,0.273244791498073,0.591254044241777,0.422163167232005,0.104153914488301,0.012200261878337,0.0455083029178289,0.0217226418878639,0.0165759671971737,1.93188418210552,2.67674264965269,1.93585305799192,0.0420694510450057,1.10187914125701,0.00793054895499425,3.53102291913008,0.476827337134929,2.01379144835102,1.70512658802157,1.73352651596275,1.09558647890437,2.82911299486713,1.48986709473248,1.39823332036235,2.88810041509483,0.0431696654901297,0.0275458372639641,0.0707155027540938,0.971269773993968,1.07774439222998,2.04901416622395,0.458991747263339,0.28167313917664,0.740664886439979,0.898480787107637,1.1398643089099,1.19197955773188,2.33184386664178,0.377432297526337,100,100,100,0.766637525597451,0.683663580682758,1.12255662823366
"7",0.6,29.5739119112861,1,0.397445571798519,2.29569439198451,1.33993270187638,1.27669495153175,1.33455509298019,0.0882957267318913,0.988040247620116,99.3977788008441,1.3594916438763,0.0302500513781457,3.63562709386089,0.790913771640829,1.97546994440644,1.23915667744075,0.523757409217612,0.321178593557462,1.22066294667132,1.10813924616216,0.262757368847906,0.163721230149679,0.156061282576139,0.103726436889114,0.0511373484215898,0.0545907909626967,4.18559008833594,0.256151844750843,0.60081608678302,0.0603168982195937,0.0383610419143984,0.291410457861009,0.608568072443205,0.956046078523733,0.343360481773902,1.09732444193448,0.988872235978662,0.988020717567709,0.850706386428269,0.850620079835491,1.6836806958812,1.57839442923024,1,3.26207512511144,3.21462662184719,2.23821924608525,1.88283260346131,0.00151250256890729,0.00493389700669961,0.00151250256890729,0.05,0,100,0.772535705131212,0.390275238597111,0.385474527280779,0.483862072053389,0.16,0.16,1,1.5,0.03,0.422908102184232,1.22184260723806,1.17796082191058,0.426478598997585,0.256151844750843,0.60081608678302,0.426478598997585,0.0818143569654076,0.0108131206502332,0.0459692869835557,0.0219217528314005,0.0167410593263823,1.59177026317399,1.97764737913836,1.56323384788378,0.0447938731058824,1.10761566388838,0.00520612689411757,3.52882497801332,0.477667403562305,2.02075441785267,1.69989705350633,1.74900409548659,1.0971010264824,2.84610512196899,1.49066526723226,1.39744891023709,2.88811417746936,0.0534022308523731,0.033963371402026,0.0873656022543991,0.98110329918959,1.08072739804621,2.0618306972358,0.463714396848641,0.284359008905806,0.748073405754447,0.892042501594388,1.13886615833731,1.19047986365758,2.32934602199489,0.380081234586196,100,100,100,0.772565937936082,0.68854828899436,1.12948274363923
"8",0.7,29.5056001954772,1,0.400261592408813,2.31292135290484,1.35066808099949,1.28545191328329,1.34322941235243,0.0890909287803154,0.986069946806466,99.3248059443663,1.37026086837333,0.0361059546394278,3.66358943390433,0.789690500160667,2.00045766439615,1.24792163465306,0.531583136206984,0.325770863407247,1.2308003486195,1.12237419026191,0.265212118795069,0.165159122446018,0.156477780503471,0.104037739525589,0.0509399442808183,0.0543225184237345,4.18177036042013,0.244814787745213,0.609952637412703,0.0725158375038649,0.0459975962132173,0.29547274086645,0.616889367696294,0.964912005782942,0.346708096051774,1.10582212001818,0.986138151402691,0.985212528493862,0.851282646393767,0.851168704814831,1.69488676246393,1.58749241572473,1,3.28237917818866,3.24837929904921,2.25099242755366,1.884862683149,0.00180529773197139,0.00592567168585411,0.00180529773197139,0.05,0,100,0.774566347285086,0.392815167645207,0.384167463146414,0.483640776871112,0.16,0.16,1,1.5,0.03,0.421829085283976,1.23060734066849,1.17772758674651,0.430371241241087,0.244814787745213,0.609952637412703,0.430371241241087,0.0652333915735968,0.0100730030400067,0.0464407047914712,0.0221311224411882,0.0168989290997738,1.36136561414308,1.56693190906302,1.32208785822446,0.0467301614534157,1.11123738828096,0.00326983854658432,3.52680455196165,0.478330364626116,2.02566296931015,1.69618364449095,1.76415985504315,1.10051479182855,2.8646746468717,1.49468356086681,1.39997483568462,2.89465839655143,0.0639501308405682,0.0405642739219566,0.104514404762525,0.989797246918651,1.08541590419663,2.07521315111528,0.46879153965869,0.287290198335336,0.756081737994026,0.887362103908219,1.1406613142439,1.19193087737645,2.33259219162036,0.382922817582431,100,100,100,0.778081453613256,0.693105776357194,1.13394353616964
"9",0.8,29.4379604123736,1,0.403223570254368,2.33037240792789,1.36153594323743,1.29476647711787,1.35252795923549,0.0899279161758989,0.984106358898145,99.2576528986687,1.3812220240583,0.042014309760625,3.69190835116533,0.788743193239991,2.02226403792474,1.25637354103145,0.538721848688816,0.329972358089296,1.24036291191534,1.13420698659289,0.267478756895596,0.16649574845932,0.156775168251452,0.104263740331101,0.0508072089175252,0.0541296736056339,4.17718746005786,0.237588054828492,0.61848067380328,0.0849840819762899,0.0537892109377136,0.298972717661687,0.624068294929711,0.973152088328443,0.349833513264359,1.11443198898338,0.983927573548356,0.982978077510302,0.851841628649786,0.851704881642955,1.70612961146108,1.59687104961509,1,3.30300066107617,3.27863757895618,2.25911650719294,1.8854854339361,0.00210071548803125,0.00693866464570017,0.00210071548803125,0.05,0,100,0.776066606257645,0.394754436972635,0.383199884334711,0.483460711477668,0.16,0.16,1,1.5,0.03,0.421279263351224,1.23900487126566,1.17893595990385,0.433974505354916,0.237588054828492,0.61848067380328,0.433974505354916,0.0530818863801276,0.00971095371884212,0.0469197595454927,0.022346930242743,0.0170547741387023,1.20316472489122,1.31260516824527,1.1629417769299,0.0481097913073075,1.11333785885193,0.00189020869269255,3.52494423177095,0.478841115716277,2.02913831523032,1.69354290698459,1.77916614976604,1.10534392826306,2.8845100780291,1.50103448160018,1.40490997403687,2.90594445563705,0.0747680812621882,0.0473231692441178,0.122091250506306,0.99786310765089,1.09125794897172,2.08912105662261,0.473961688163194,0.290306131573905,0.764267819737099,0.88392427426563,1.14447551862988,1.19553229479121,2.34000781342108,0.385892722229281,100,100,100,0.783388447983983,0.697509735705309,1.13663585505528
"10",0.9,29.3709866002153,1,0.406290458672137,2.34802617426257,1.37252438225669,1.30450429022737,1.36231884295787,0.0907978737481597,0.98214949340046,99.1957494432217,1.39231623000049,0.0479485071337881,3.72055055651926,0.787991825609602,2.04180705745602,1.26465168718277,0.545231117998622,0.333817474300538,1.24948092823944,1.1444510534526,0.269613975376037,0.167764001795857,0.156987538570437,0.104428673170146,0.0507200533424101,0.0539906982755628,4.17246434039278,0.233255849128024,0.626358490970165,0.0976703556164641,0.0617064758547039,0.302059926530439,0.630416607965635,0.980916049933409,0.352790957462475,1.12313772274088,0.982179473981017,0.981247056312743,0.852357276631922,0.852203882490972,1.71742278292406,1.60649366407747,1,3.32391644700152,3.30645874463879,2.26391316276408,1.88509779611649,0.0023974253566894,0.0079688415735584,0.0023974253566894,0.05,0,100,0.777151885982453,0.396226878962834,0.382479197489859,0.483313491687395,0.16,0.16,1,1.5,0.03,0.421089853988967,1.24721894466433,1.18142354431341,0.437377977171894,0.233255849128024,0.626358490970165,0.437377977171894,0.0442753353297528,0.00956482804405578,0.047404476020914,0.0225671757280482,0.0172115080202522,1.09298190115284,1.14903475396118,1.05597558366403,0.0490944328310394,1.11434606106487,0.000905567168960601,3.52322846473601,0.479225578374171,2.03160691446307,1.69166281641009,1.79411173880726,1.11123449651701,2.90534623532427,1.50907910915841,1.41160700298096,2.92068611213937,0.0858217875705193,0.0542207513129509,0.14004253888347,1.00561561974808,1.09790412986584,2.10351974961392,0.479088141845843,0.293321470838576,0.772409612684419,0.881368479430813,1.14974896268867,1.20070488711773,2.35045384980639,0.388948942553706,100,100,100,0.78860329515441,0.701859716578937,1.13806014045337
